APA Citation,DOI,Title,User,Year Published,Study Design,Research Method,Task,Interaction,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
,10.1.1.142.6869,Haptic and aural graphs exploration for visually impaired users,Visually impaired,2008,,,Read,Navigate,,"Multimodal graphs accessibility, vocal and haptic feedback, accessibility for visual impairments",,,,,,
,10.1145/1414471.1414489,Refreshable tactile graphics applied to schoolbook illustrations for students with visual impairment,Visually impaired,2008,,,Read,Navigate,,"Students with visual impairment, accessibility, multimodal device, tactile graphics, pedagogy, children with special needs",,,,,,
,10.5220/0001274600590066,A browser extension for providing visually impaired users access to the content of bar charts on the web,Visually impaired,2007,,,Read,None,,"Accessibility, assistive technology, plan recognition, Bayesian networks, graph understanding",,,,,,
,10.1145/1124706.1121428,Teaching graphs to visually impaired students using an active auditory interface,Blind,2007,,,Read,Navigate,,"Accessibility, C# Programming Language, Audio, Graph.",,,,,,
,10.1145/1124772.1124941,Feeling what you hear: Tactile feedback for navigation of audio graphs,"Blind, Visually impaired",2006,,,Read,Navigate,,"Tactile, audio, multimodal, graph, navigation, blind, accessibility, guidelines",,,,,,
,10.1145/1125451.1125634,Non-visual overviews of complex data sets,"Blind, Visually impaired",2006,,,Read,Navigate,,"Sonification, tablet, data tables, overview, accessibility",,,,,,
,10.1145/1182475.1182477,Tac-tiles: Multimodal pie charts for visually impaired users,Visually impaired,2006,,,Read,Navigate,,"Tactile, tangible, graphs, blind, accessibility",,,,,,
,10.1145/1090785.1090814,Automating tactile graphics translation,Blind,2005,,,Read,None,,"Tactile graphics, Braille, user study, image processing, ma-chine learning, disability, accessibility",,,,,,
,10.1109/IV.2004.1320214,Issues in the non-visual presentation of graph based diagrams,Visually impaired,2004,,,Read,None,,"Visualization , Computer science , Speech , Data mining , Dictionaries , Flowcharts , Biological system modeling , Unified modeling language , Organizational aspects , Nitrogen",,,,,,
,10.1007/3-540-45491-8_99,Evaluation of long descriptions of statistical graphics for blind and low vision web users,"Blind, Low vision",2002,,,Read,None,,"Lesson Plan, Screen Reader, Blind User, Accessibility Guideline, Worcester Polytechnic Institute",,,,,,
,10.1145/638249.638261,Multimodal Virtual Reality versus Printed Medium in Visualization for Blind People,Visually impaired,2002,,,Read,Navigate,,"haptics, assistive technology, multimodal interface, human computer interaction, virtual reality",,,,,,
,10.1007/3-540-44589-7_5,Haptic graphs for blind computer users,Blind,2001,,,Read,Navigate,,"Haptics, haptic graphs, assistive technology, visualization, multimodal interaction",,,,,,
,10.1145/354324.354330,Constructing sonified haptic line graphs for the blind student: First steps,Blind,2000,,,Read,Navigate,,Force feedback; Haptic display; Line graphs; Spatial sound; Visual impairment,,,,,,
,10.1109/86.788473,Design of a haptic data visualization system for people with visual impairments,Visually impaired,1999,,,Read,Navigate,,"Haptics, virtual environment, visualization",,,,,,
